County,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS_County_Code
Sacramento County,1552058.0,1418735.0,9.4,1418788.0,6.3,23.4,14.5,51.1,62.8,10.9,1.5,17.0,1.3,6.5,23.6,43.8,77463.0,20.9,578937.0,56.4,351900.0,1925.0,539.0,1252.0,5588.0,543025.0,2.76,84.9,32.7,94.2,87.9,87.7,30.9,7.8,6.1,62.7,58.4,2422674.0,12358663.0,6960679.0,18746336.0,15227280.0,10501.0,27.8,67151.0,32751.0,12.6,30275.0,493415.0,28219068.0,2.5,113355.0,110172.0,58846.0,40013.0,43535.0,62814.0,9080.0,96579.0,1470.8,964.64,67.0
San Benito County,62808.0,55265.0,13.6,55269.0,6.5,25.5,13.1,49.9,87.4,1.6,3.1,3.9,0.4,3.6,60.8,32.8,2619.0,19.9,19979.0,63.7,551500.0,2517.0,683.0,1535.0,734.0,18135.0,3.31,88.6,39.7,94.7,90.2,80.5,19.7,6.0,8.0,67.8,61.3,49887.0,143209.0,591100.0,275366.0,345195.0,6068.0,35.7,86958.0,33174.0,10.4,989.0,12948.0,623128.0,2.2,3737.0,3867.0,1694.0,1596.0,1408.0,2306.0,296.0,3319.0,39.8,1388.71,69.0
San Bernardino County,2180085.0,2035183.0,7.1,2035210.0,7.0,26.1,11.9,50.2,76.6,9.4,2.1,8.0,0.5,3.6,54.4,27.3,90686.0,21.0,731400.0,59.8,328200.0,1818.0,483.0,1283.0,5607.0,636041.0,3.29,86.8,42.1,93.0,84.4,80.0,21.0,7.4,9.3,60.3,54.6,2857960.0,11199315.0,17591612.0,30996188.0,24380486.0,11714.0,31.6,63362.0,25215.0,13.3,36275.0,617828.0,27459440.0,2.2,154048.0,160500.0,81064.0,63349.0,98288.0,57667.0,11117.0,144106.0,101.5,20056.94,71.0
San Diego County,3338330.0,3095349.0,7.8,3095313.0,6.1,21.4,14.5,49.7,75.4,5.5,1.3,12.6,0.6,4.6,34.1,45.0,217188.0,23.4,1233777.0,53.3,563700.0,2578.0,621.0,1658.0,8216.0,1125286.0,2.87,84.7,37.6,94.9,90.2,87.4,38.8,6.2,9.2,63.3,58.9,10403824.0,21337796.0,33320460.0,35937370.0,39786068.0,12523.0,26.5,78980.0,38073.0,10.3,86070.0,1291966.0,77600850.0,2.0,292941.0,293426.0,154416.0,105329.0,106472.0,175754.0,25354.0,255209.0,735.8,4206.63,73.0
San Francisco County,881549.0,805184.0,9.5,805235.0,4.5,13.4,16.1,49.0,52.8,5.6,0.7,36.0,0.5,4.5,15.2,40.2,23619.0,34.3,406413.0,37.6,1097800.0,3647.0,704.0,1895.0,3200.0,362354.0,2.36,85.6,42.9,93.1,87.6,88.5,58.1,5.7,4.8,71.1,67.0,6142745.0,10175813.0,,11121715.0,14632652.0,17718.0,33.8,112449.0,68883.0,9.5,34671.0,673488.0,75901180.0,3.1,100598.0,116803.0,63864.0,40135.0,46128.0,64708.0,6378.0,104957.0,17179.1,46.87,75.0
San Joaquin County,762148.0,685306.0,11.2,685306.0,6.9,26.8,13.1,50.1,66.1,8.3,2.0,17.4,0.8,5.5,42.0,30.5,29013.0,23.3,248636.0,56.6,342100.0,1907.0,523.0,1208.0,3499.0,228567.0,3.17,86.8,40.9,91.0,82.9,79.3,18.8,8.7,7.8,60.3,53.6,808606.0,3447722.0,9212428.0,11713538.0,7059491.0,10047.0,34.2,64432.0,27521.0,13.6,11715.0,194835.0,8815841.0,2.0,42899.0,41940.0,21962.0,14941.0,20472.0,19915.0,3449.0,36663.0,492.6,1391.32,77.0
San Luis Obispo County,283111.0,269597.0,5.0,269637.0,4.5,17.5,20.9,49.4,88.8,2.0,1.4,4.0,0.2,3.6,22.9,68.5,16767.0,10.1,123963.0,61.6,574000.0,2351.0,613.0,1476.0,1094.0,105981.0,2.51,82.2,18.0,94.0,88.0,91.3,35.4,7.1,7.4,57.7,53.8,824771.0,1580460.0,2854029.0,,3624029.0,13188.0,21.7,73518.0,37233.0,11.6,8510.0,93500.0,4350834.0,1.9,26143.0,28626.0,14544.0,9282.0,4950.0,22457.0,2588.0,24340.0,81.7,3298.57,79.0
San Mateo County,766573.0,718517.0,6.7,718451.0,5.5,20.2,16.6,50.5,59.5,2.8,0.9,30.6,1.5,4.8,24.0,38.7,25027.0,34.8,280450.0,60.2,1089400.0,3533.0,765.0,2316.0,1352.0,263543.0,2.87,88.0,45.7,95.3,91.0,89.6,51.0,4.3,4.9,68.8,63.2,2552854.0,5166992.0,,15969681.0,11330620.0,15326.0,29.3,122641.0,61545.0,6.1,21480.0,399111.0,52803236.0,3.4,73688.0,75507.0,39910.0,26594.0,30914.0,40894.0,5141.0,66645.0,1602.2,448.41,81.0
Santa Barbara County,446499.0,423947.0,5.3,423895.0,6.1,22.1,15.7,50.0,85.4,2.4,2.1,6.0,0.3,3.8,46.0,43.8,21027.0,23.0,159246.0,52.1,577400.0,2364.0,634.0,1643.0,1175.0,145856.0,2.91,80.9,40.3,92.9,87.8,80.9,34.2,6.2,11.5,63.6,58.3,1428929.0,2637280.0,4157565.0,3475600.0,4853808.0,11255.0,20.5,74624.0,36039.0,12.0,11765.0,153488.0,8503790.0,2.5,35272.0,39952.0,20585.0,13911.0,10340.0,27596.0,3254.0,34332.0,155.0,2735.09,83.0
Santa Clara County,1927852.0,1781686.0,8.2,1781642.0,5.8,21.6,13.9,49.3,52.4,2.8,1.2,39.0,0.5,4.2,25.0,30.6,51472.0,39.2,686266.0,56.4,984000.0,3381.0,795.0,2268.0,5496.0,640215.0,2.95,85.5,53.0,96.0,91.8,88.4,52.4,4.6,5.1,67.5,60.2,4809201.0,17020992.0,41450610.0,91858980.0,40336740.0,21952.0,29.3,124055.0,56248.0,6.1,48960.0,1084463.0,142931400.0,2.7,149189.0,163130.0,84501.0,58589.0,82931.0,72818.0,9400.0,146384.0,1381.0,1290.1,85.0
